Project # (internal) ,Title,Activity area,Programme,Staff Project Lead,Short Description,Long Description,Outcomes ,Links,Partners,Other Staff Involved,Tags
,ECOPOTENTIAL: improving future ecosystem benefits through earth observations  ,Communications development ,Polar & Mountain Environments,,GRID-Arendal is working with UN Environment  in a project called “Ecopotential” the goal of which is to improve the use of Earth Observation in protected area management.,"GRID-Arendal has a major role in project communications and dissemination and has prepared materials to promote the project, including a project leaflet. This includes a project leaflet which was launched at the project General Assembly in Texel. Other products planned this year include a simple show video, engaging storymaps, and a synthesis study which examines the needs of PA managers for EO products. 
",Earth observation methodology is used to define ecological status of future protected areas. New prototype products are created. Information is used in evidence-based environmental policy making.  ,,,,
,Working with Indigenous Peoples in the Arctic (Nomadic Reindeer Herders),Capacity building,Polar & Mountain Environments,,Saami Reindeer herders are feeling the consequences of lost pastures and land fragmentation caused by industrial development and other land-use changes.,"While the effects of climate change are important, for reindeer herders there is an even more pressing concern – the consequences of lost pastures and land fragmentation caused by industrial development and other land-use changes. Like other Arctic peoples, the herders are looking for ways to understand the cumulative effects of future changes to the land on which their livelihood depends.

Activities include GRID-Arendal’s Kathrine Johnsen participating in a workshop in Kautokeino in the north of Norway to assess the suitability of two mapping tools to monitor land use changes. Called RenGIS and GLOBIO3, these techniques can also be used to predict how climate, land-use and other human-induced changes will affect biodiversity in the Arctic. The results from the workshop will be used to visualize past and future changes in different locations in the region.

The next step will be to work together with herding communities to gather information to visualize the local impacts of predicted changes on reindeer husbandry. The outcome will be a refined tool that addresses the herders’ need to understand, communicate, mitigate and adapt to the impacts of current and future changes. GRID-Arendal provided expertise on reindeer husbandry and environmental change.

GRID-Arendal also helped to deliver a two-week intensive course on Biological diversity in a circumpolar indigenous perspective at the Sámi University College in Kautokeino, Norway. Over 30 students, representing seven reindeer herding peoples from Mongolia, Russia and Norway, participated. With a strong focus on traditional food preparation as a key tool for the conservation of biological diversity and knowledge, the goal of the course was to enhance the students’ ability to understand, monitor and reflect on the linkages between biodiversity conservation and the resilience of reindeer herders’ ecosystems and livelihoods. ",,,Sámi University College; International Centre for Reindeer Husbandry,,
,20 Years of Action – Indigenous Peoples at the Arctic Council,Communications development,Polar & Mountain Environments,,The Arctic Council will celebrate its 20th anniversary in 2016. GRID-Arendal is working with the Arctic Council Indigenous Peoples Secretariat to develop a story map that hightlights the role Indigenous Peoples have played in the development of Arctic environmental relations. ,"One of its unique and most important features of the Arctic Council is the presence of Indigenous Peoples working directly with state representatives. Called Permanent Participants, the role Indigenous Peoples have played over the last 20 years has been decisive and has helped determine the direction and evolution of the council. 

GRID-Arendal  is working on a multi-media exhibition designed to celebrate the achievements of Arctic Indigenous Peoples as part of the 20th anniversary of the Arctic Council. The exhibition will be built around an interactive “story map” that will highlight Indigenous Peoples’ contribution to the Arctic agenda, celebrate successes and look to the future. It will also inform Indigenous communities and others about role Permanent Participants play in the evolving Arctic dialogue and reinforce the importance of Indigenous knowledge. Finally, it will educate non-Indigenous audiences about the Arctic and its inhabitants.",,,,,
,Many Strong Voices (MSV),"Capacity building, Communications development",Polar & Mountain Environments,,"GRID-Arendal and the University College London coordinate Many Strong Voices that brings together people from the Arctic and Small Island Developing States to share knowledge, tactics and stories about how they are dealing with rapid climate change. One form of story telling is Portraits of Resilience, a photography project involving young people from both regions.
","Portraits of Resilience is a photography project that works with youth and schools in the Arctic and Small Island Developing States to document the effects of climate change in their local communities. These geographically distant societies share characteristics of vulnerability and resilience, and are among the first to feel the effects of climate change.
Portraits of Resilience illustrates the ethical dimension of climate change by bringing personal stories about its impacts to the attention of decision-makers and people around the world. It shows that the people of these regions are not helpless victims of climate change and that youth have a profound sense of place and a strong desire to see their cultures and communities survive and thrive.

Led by Canadian photographer Christine Germano, Portraits includes work by young people in the Arctic communities of Shishmaref (Alaska), Unjargga (Norway), Pangnirtung (Nunavut, Canada), Uummannaq (Greenland) and Chukotka (Russia) as well as the island states of Seychelles, Fiji, Tuvalu, Samoa, Kiribati, the Marshall Islands and Barbuda. Exhibitions have been held in Fiji, Greenland, Denmark, Norway, Canada, South Africa, Poland and the United States at the Smithsonian Institution in Washington and the Field Museum in Chicago.

So far this year it has been exhibited in three Canadian locations: the Vancouver Aquarium in British Columbia, the Prince of Wales Northern Heritage Centre in Yellowknife, capital of the Northwest Territories in the North, and the Ontario Science Centre in Toronto. Reaction to the stories and photos of the young photographers has been universally positive. Further exhibitions and photo work are being planned.

""When it comes to climate change, arctic communities and small island states share similar struggles. As they feel the impacts of rising sea levels and deteriorating coastal environments, organizations like Many Strong Voices collaborate, act and innovate to achieve lasting change. Their critical work fills the gap between those affected by adverse climate impacts and the political and business leaders focused on creating big picture solutions."" Sir Richard Branson",,,,,"climate change, Indigenous Peoples, Arctic, Small Island Developing States "
208005,University of the Arctic ,,,,,"Univeristy of the Arctic
Planning began in earnest for the first ever UArctic Congress, which will be held in St. Petersburg, Russia in September 2016. The Congress will be the first time that all UArctic bodies – Rectors’ Forum, Board of Governors, Council and Thematic Networks – meet together in the same location. In response to increased interest from our members in greater research cooperation within the network, we developed new tools and initiatives to better serve members and individual researchers. One such example is the new Research Infrastructure Catalogue – an online database of our members’ infrastructures and facilities. Additionally, a Research Analytics Task Force was developed and implemented, to better track our members collective research outputs. UArctic  also participated in the Arctic Council’s Scientific Cooperation Task Force and process for ICARP.

Our Thematic Networks expanded with six new additions: Arctic Telecommunications and Networking, Working in the Arctic, Model Arctic Council, Northern Nursing Education, Teacher Education for Social Justice and Diversity in Education, and UArctic World Ensemble. These networks have already been very active; an example is the Model Arctic Council event organized at the Arctic Science Summit Week in Fairbanks in March 2016. The first Arctic Massive Open Online Course (MOOC) was also launched through a collaboration of UArctic partner institutions.
",Successful UArctic Congress held in St. Petersburg. New thematic networks created. The first Arctic Massive Open Online Course (MOOC) is launched.,,,,
207201,Green & Blue Economy,Capacity Building,,,"GRID-Arendal’s Green Economy Programme supports UN Environment to meet policy, modelling, capacity building and reporting goals for its Green Economy work. ","The idea that an economy can be transformed and made “green” is an important evolution in global economic thinking. A major challenge, however, is to move these ideas from the fringes into the mainstream. This project identifies client needs, funding sources, identifies gaps and needs and collaborates with UN Environment's Green Economy partners to develop and deliver products and capacity. ","This project will strengthen the economic contribution in various  GRID products, across programs and provide support to a variety of partners. ",,,,
207204,The Economics of Ecosystems and Biodiversity of our Oceans (TEEB-Oceans),,,,Our work in this area responds to the growing demand from decision makers to better manage human activities and their impact on marine biodiversity and ecosystems.,"The proposed project is a response to the growing demand from decision makers to better manage human activities and their impact on marine biodiversity and ecosystems. We need to understand and acknowledge that social progress, sustainable economic development and the success of ocean-based businesses relies on healthy marine ecosystems. It also responds to the Rio +20 Outcomes Document [link and explanation] which states s noting that ocean ecosystem services are a critical part of sustainable development. It stressed “…the importance of the conservation and sustainable use of the oceans and seas and of their resources for sustainable development, including through their contributions to poverty eradication, sustained economic growth, food security and creation of sustainable livelihoods and descent work…” [Citation]","Output 1: Completed PIF document submitted to UNEP for submission to GEF

Within the UNEP context, the following mandates have been identified by UNEP focal points for the PIF: • the UN Regular Process for Reporting on the State of the Marine Environment Including Socio-Economic Aspects (now the World Oceans Assessment) • the Wealth Accounting and Ecosystem Services Partnership and Global Partnership for Oceans • the United Nations’ Post 2015 Agenda: Sustainable Development Goals (SDGs) • the outcomes of the Rio +20 conference relating to oceans • the EU’s Sustainable Blue Growth and Marine Strategy Framework Directive • the US Sustaining Environmental Capital Report, President's Council of Advisors on Science and Technology • the US Integrated Ocean Policy framework • IUCN World Commission on Protected Areas Also in GEF context: • The GEF 6 IW propramme which embeds principles of ecosystem services throughout. The current effort will directly work “to promote collective management for transboundary water systems and subsequent implementation of the full range of policy, legal, and institutional reforms and investments contributing to sustainable use and maintenance of ecosystem services”, a key goal of the IW focal area. • IW 2 Programme 4 Addressing the Water/Food/Energy/Ecosystem Security Nexus – the current project will work to transform marine fisheries activities thus benefiting over the long term, communities and people dependent on sustainable fisheries for their food and livelihood security. Being inclusive of private and financial sector parnters, the current effort will seek to innovate how private investment can be mobilized to maintain and enhance marine ecosystem service.
",,,,
205020,Climate Change and Security,,,,,"Background: The United Nations Environment Programme (UNEP) is partner of the Environment and Security Initiative (ENVSEC) – Phase II. ENVSEC is a partnership of six international organizations – the Organization for Security and Co-operation in Europe (OSCE), Regional Environment Centre for Central and Eastern Europe (REC), United Nations Development Programme (UNDP), United Nations Economic Commission for Europe (UNECE), United Nations Environment Programme (UNEP), and the North Atlantic Treaty Organization (NATO) as an associated partner – with specialized, but complementary mandates and expertise, that provides an integrated response to environment and security challenges. The mission of ENVSEC is to contribute to the reduction of environment and security risks through strengthened cooperation among and within countries in four regions: Central Asia, Eastern Europe, Southern Caucasus, and South-Eastern Europe. The ENVSEC Initiative - Phase II forms also part of the UNEP POW 2012–2013, Subprogramme 2: Disasters and conflicts: Project ID 00630: (21-P2) Environment and Security Initiative (ENVSEC). UNEP together with ENVSEC partners is involved in the project component entitled “Climate change and security in Eastern Europe, Central Asia and the Southern Caucasus ”. Objectives: 1.","Enhanced understanding and awareness of climate change as a security challenge and the consequent need for regional and transboundary cooperation in adaptation in the three regions (Eastern Europe, Southern Caucasus and Central Asia), 

2. Enhanced national and local stakeholders’ capacity to anticipate, prevent and mitigate effectively and in a timely manner potential security risks resulting from climate change. The overall action will be implemented under the responsibility of OSCE on behalf of ENVSEC in line with the provisions of the “Agreement between the European Union, represented by the European Commission and the OSCE” for a period of three years. The EU and the OSCE will oversee the implementation of this action. The objective of this concrete activity is to facilitate ENVSEC-trademark participatory assessments of links between climate-change and security in three regions, and to present the results of the assessments in a visual and practical format. The results of the regional assessments will also be used to produce a cross-regional picture of climate change-security issues and linkages. The project answers the requirements of GA’s both main stakeholders: the Norwegian MoFA, as it is focused on building the capacities of the ODA countries and providing them with information related to environmental security issues and UNEP, as it is contributing to the implementation of UNEP’s PoW and is commissioned to GA on UNEP ROE request. Enhanced understanding and awareness of climate change as a security challenge and the consequent need for regional and transboundary cooperation in adaptation in the three regions (Eastern Europe, Southern Caucasus and Central Asia), • Enhanced national and local stakeholders’ capacity to anticipate, prevent and mitigate effectively and in a timely manner potential security risks resulting from climate change. • Enhanced coordination and cooperation between different sectors (government, business, NGO, academia) The project addresses the following areas of GA strategic plan: - Capacity building and the assessment (and mitigation) of environmental impacts... strengthen these activities, concentrating on either specific geographic or subject areas. - increase our focus on specific issues ... dealing with the environmental challenges brought about by climate change. Linked to the UNEP ROE PoW",,,,
207103,Areas Beyond National Jurisdiction (ABNJ),Environmental Assessment,,Miles Macmillan-Lawler,This project develops and testes approaches for area based planning in marine Areas Beyond National Jurisdiction (ABNJ).,"Support developing states in ocean management, governance and assessment to address the growing pressures from human activities in Areas Beyond National Jurisdiction and extended continental shelf areas, including the high seas and the polar oceans. The project is funded by the Global Environment Facility and in it GRID-Arendal is working with UN Food and Agriculture Agency and UN Environment.  ","Influences planning and assistance frameworks at the regional and national levels so that they incorporate a cross-sectoral, integrated approach focusing on ecosystem services. It will also promote awareness of the links between humans and their effects on ecosystems, as well as the benefits people derive from ecosystems and their services. It will facilitate institutional, policy, economic and governance changes necessary to enable cross sectoral and, when relevant, transboundary cooperation for the management of ecosystems",,,,
207612,Blue Forests,"Is this assessment or capacity building, or both?",Blue Carbon,,"The Blue Forests Project paves the way to coordinated on-the-ground payment for ecosystem services (PES), carbon market schemes, or conservation agreements that really work for coastal ecosystems and that are based on those values.","Mangroves, seagrass and salt marshes are important, but often underrated, ecosystems. These ‘blue forests’ provide food from fish, they shelter villages and towns from storms, and they are also significant for our global climate by storing and sequestering carbon. This Global Environment Facility-funded (GEF) Blue Forests Project aims to address these challenges by paving the way to coordinated on-the-ground payment for ecosystem services (PES), carbon market schemes, or conservation agreements that really work for coastal ecosystems and that are based on those values. The ultimate development goal, beyond the life the project, is a set of fully functional PES or carbon market schemes in three different ecosystems (mangroves, seagrass, saltmarshes) on three different continents (South America, Africa and Asia). In practice, the Blue Forests project will build on existing activities in selected countries to ‘push’ the blue forest concept from theory to practical application. This will be accomplished through support to targeted research on carbon and ecosystem services, through analyses of possible policy interventions, and through information sharing that will help global replication of the concept. These countries show great potential for the blue forests concept to succeed due to their natural blue forests resources, the political will of the governments, and the existing activities that have already been undertaken by the project partners. If we can achieve functioning PES and carbon market schemes in these countries, then we have set the stage for up-scaling and replication around the world. This project represents a milestone event for the way we think about and finance coastal ecosystem management. In accordance with GEF direction, the small-scale interventions (or demonstration projects) are the major focus of the Blue Forests project. Specific project targets include: 1) the improved understanding of carbon and ES valuation – at the intervention sites and globally, and 2) improved management of coastal ecosystems at the intervention sites. ","Outcomes include development of guidance for implementation and on the ground demonstrations of conservation and restoration activities. It will also address the critical need to understand of blue forests through targeted research. Blue forest methodologies are adopted by the international community and increase stakeholder awareness of the blue forests concept. Lessons and experiences gained through the interventions will support the adoption of blue forests policy options and methodologies in international climate change mitigation frameworks and markets.  
",,,,
207711,University Course in Marine Management,Capacity building,,,GRID-Arendal is working to incorporate environmental education  at the university level.,"A course at the University of Agder is being developed. It will focus on environmental processes and global change, managing coastal and marine environments","- Develop and deliver 10 credit course in marine management: ""Environmental Processes and Global Change, Managing Coastal and Marine Environments"" - Support to UiA in development of Marine Management Centre", ,,,
205242,Transboundary Waters,Communications development,,,"The project will produce an Atlas of the Limpopo River Basin’s Changing Environment, with a particular focus on the impact of drought and floods.","Local experts will be trained in the gathering and generation of satellite change pairs, a skill that they will use in preparing similar atlases in future. Databases of maps, graphics and photographs will also be built from materials used in the visualization of the atlas. The findings from the Limpopo River Basin atlas are mainly targeted at the Limpopo River Basin Commission, the Southern Africa Development Community, technical arms of the African Union such as the African Ministerial Conference on the Environment and African Ministerial Conference on Water, media groups, and politicians. The project will also inform non-target river basins. ","Decision and policy-making is based on credible science. There is better preparation for disasters such as droughts and floods in the Limpopo River Basin as a result of the early warning service provided by the project.

The project is linked to UN Environment’s Environmental Governance Programme of Work, and will seek to address the use of the ecosystem approach in countries to maintain ecosystem services. Sustainable productivity of terrestrial and aquatic systems is increased. The project responds to Norway’s development priority of strengthening partner countries’ capacity and competence as regards the planning and implementation of environmental impact assessments, environmental monitoring and reporting.",,,,
205244,Transboundary WRM - Lake Victoria,,,,"The project will produce an Atlas of Lake Victoria’s Changing Environment, including provision of training for local experts to produce similar atlases in future. ","Databases of maps, graphics and photographs will be built from materials used in the visualization of the Atlas. The findings from the Lake Victoria transboundary assessment are mainly targeted at Lake Victoria Basin Commission, the East Africa Community, the Nile Basin Forum, technical arms of the African Union such as the African Ministerial Conference on the Environment and African Ministerial Conference on Water, media groups, and politicians. The project will also inform non-target river basins. ","The Lake Victoria Basin Commission has a wide pool of credible information that is useful in the delivery of the commission’s mandate within the East Africa Community (EAC), which includes sound policy and decision-making in the lake’s resources. An Atlas of Lake Victoria Basin's Changing Environment will be produced as well as a State of the Environment Report for Lake Victoria

The project is linked to UN Environment’s Environmental Governance Programme of Work, and will seek to address the use of the ecosystem approach in countries to maintain ecosystem services. Sustainable productivity of terrestrial and aquatic systems is increased. The project responds to Norway’s development priority of strengthening partner countries’ capacity and competence as regards the planning and implementation of environmental impact assessments, environmental monitoring and reporting.", ,,,
203114,Mountains Policy,Environmental Assessment,Polar and Mountain Environments,,A series of policy assessments for different global mountain regions is being produced by GRID-Arendal and UN Environment. ,"Mountains cover 25 percent of the world’s land surface, and directly support 12 percent of the world’s population. Sustainable mountain development should be a global priority given the multitude of ecosystem goods and services that mountains provide, among which the most important is water for half of humanity for drinking, irrigation and energy production. 

As part of an overall initiative of the Mountain Partnership a series of three thematic policy briefs have been produced, on Energy, Climate change and Disaster Risk Reduction, Forests and Biodiversity. The briefs benefit from various results and information gained throughout mountain-related projects and initiatives, including the Himalayan Climate Change Adaptation Programme.Three policy assessments are being finalized for UN Environment for East Africa, Central Asia and the Andes. A synthesis report is to be produced that looks at the situation in all of the regions covered by the outlook series. ","Adaptation outlooks are produced for Central Asia and East Africa and are used by policy makers in those regions.

",,,,
207721,Masters in HOME,Capacity building,Ocean Governance and Geological Resources,,"GRID-Arendal is developing a Masters Programme in Holistic Ocean Management (HOME) with Agder University in southern Norway and Nelson Mandela Metropolitan University (NMMU) in South Africa

","The roots of HOME are in the Norwegian supported Continental Shelf Programme (Shelf Programme), which sought to support developing countries in their efforts to delineate the outer limits of their maritime jurisdiction according to Article 76 of the United Nations Convention on the Law of the Sea (UNCLOS). This support dates back to 1998 when scientists from Norway began to understand the difficulty that many developing States were likely to encounter in their effort to define their extended continental shelf. In response to a United Nations resolution and following consultation with developing States, the Shelf Programme established at GRID-Arendal in 2004. It worked with countries to enhance the technical capacities and competencies needed to complete this critical work. The success of the approach is evidenced by the approximately 64 countries that benefitted from direct training, but above all, by the successful submission by all developing states support by the Programme. The idea behind a Masters of Science in Holistic Ocean Management and Engagement has  been driven by the same sense of purpose as the Shelf Programme: to serve the needs of coastal states by working to increase competencies and capacities of national experts to address the challenges and opportunities of a dynamic ocean space. Many States recognize that lodging their continental shelf submission is only the first step in setting up effective management and governance systems that acknowledge the holistic, multi-dimensional nature and complexity of their ocean space: from legal shelf to precious coasts, securing the future of marine spaces, HOME will establish future ocean leaders that can increase knowledge of their State’s ocean space, monitor activities within that space and support the enforcement of laws and regulations. ",TEXT IN PROCAT NEEDS A REWRITE -- JUST TWO OR THREE MAIN POINTS,,,,
